Date,US Dollar,Pound Sterling,Euro,Japanese Yen
09-Jul-25,85.7979,116.5765,100.5277,58.38
08-Jul-25,85.7188,116.817,100.6064,58.65
07-Jul-25,85.815,116.7622,100.8629,59.15
04-Jul-25,85.3886,116.7769,100.5974,59.18
03-Jul-25,85.5121,116.659,100.8866,59.44
02-Jul-25,85.6928,117.731,101.041,59.61
01-Jul-25,85.6179,117.6476,100.8476,59.58
30-Jun-25,85.5439,117.4683,100.4451,59.43
27-Jun-25,85.5594,117.5529,100.1992,59.3
26-Jun-25,85.7528,117.5076,100.1353,59.33
25-Jun-25,85.8732,117.0102,99.7646,59.16
24-Jun-25,86.1043,117.002,100.0308,59.33
23-Jun-25,86.808,116.6451,99.8969,58.96
20-Jun-25,86.6133,116.6774,99.756,59.58
19-Jun-25,86.6994,116.1581,99.339,59.69
18-Jun-25,86.303,116.1759,99.3394,59.53
17-Jun-25,86.0978,116.8537,99.5916,59.47
16-Jun-25,86.0242,116.7526,99.3958,59.67
13-Jun-25,86.0979,116.5593,99.3151,59.99
12-Jun-25,85.5353,116.0092,98.5475,59.52
11-Jun-25,85.4542,115.2264,97.5642,58.89
10-Jun-25,85.5949,115.6153,97.613,59.24
09-Jun-25,85.4984,115.9301,97.6625,59.24
06-Jun-25,85.7883,116.2472,98.1132,59.55
05-Jun-25,85.773,116.2653,97.8916,59.93
04-Jun-25,85.9579,116.1354,97.7066,59.66
03-Jun-25,85.4576,115.5586,97.5994,59.74
02-Jun-25,85.4353,115.5957,97.4156,59.66
30-May-25,85.4778,115.142,96.9375,59.36
29-May-25,85.4976,114.9407,96.2595,58.62
28-May-25,85.6873,115.4733,96.9072,59.37
27-May-25,85.322,115.741,97.1306,59.59
26-May-25,84.9004,115.3683,96.9093,59.52
23-May-25,85.6821,115.2213,96.9367,59.71
22-May-25,85.6653,115.004,97.1205,59.82
21-May-25,85.5546,115.1371,97.0343,59.6
20-May-25,85.4582,114.2656,96.198,59.15
19-May-25,85.491,113.772,95.6832,58.89
16-May-25,85.5665,114.0299,95.9554,58.9
15-May-25,85.5871,113.8092,95.9939,58.76
14-May-25,85.2982,113.4199,95.4117,57.98
13-May-25,84.8888,112.0283,94.2962,57.4
09-May-25,85.6438,113.3998,96.2882,58.92
08-May-25,84.8642,112.7574,95.7568,58.8
07-May-25,84.5715,112.9678,96.1319,59.13
06-May-25,84.5436,112.3596,95.6926,58.77
05-May-25,84.2369,111.9267,95.4028,58.36
02-May-25,83.8568,111.6134,94.9483,57.74
30-Apr-25,85.0535,113.877,96.737,59.62
29-Apr-25,85.2005,114.2874,97.0792,59.83
28-Apr-25,85.198,113.4303,96.8605,59.32
25-Apr-25,85.5788,113.8244,97.1245,59.61
24-Apr-25,85.5085,113.5313,97.0516,59.9
23-Apr-25,85.4372,113.6884,97.2976,60.2
22-Apr-25,85.1003,114.0486,97.9788,60.66
21-Apr-25,85.1622,113.9465,98.0268,60.48
17-Apr-25,85.5703,113.1975,97.2552,59.96
16-Apr-25,85.6464,113.6625,97.3668,60.18
15-Apr-25,85.6905,113.1012,97.2073,59.89
11-Apr-25,86.1441,112.0057,97.1097,59.82
09-Apr-25,86.6171,111.1372,95.8054,59.68
08-Apr-25,85.9085,109.8672,94.2972,58.25
07-Apr-25,85.8087,110.6812,94.4605,59.07
04-Apr-25,85.2281,111.5295,94.3401,58.41
03-Apr-25,85.6468,112.1362,93.7438,58.16
